FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,is_phishing,domain,registered_domain,ip_addresses,name_servers
167350.txt,https://www.religionenlibertad.com,33,www.religionenlibertad.com,26,0,com,100.0,1.0,0.5229071,0.063946492,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,2616,584,1,religión en libertad | noticias de religión,55.55555556,55.55555556,1,1,1,0,0,1,0,5,0,1,1,0,0,0,1,0,1,80,13,10,376,1,9,1,0,www.religionenlibertad.com,religionenlibertad.com,"['3.164.85.129', '3.164.85.80', '3.164.85.118', '3.164.85.120']","['ns-1077.awsdns-06.org', 'ns-619.awsdns-13.net', 'ns-476.awsdns-59.com', 'ns-1617.awsdns-10.co.uk']"
mw42508.txt,http://www.teramill.com,22,www.teramill.com,16,0,com,82.6446281,1.0,0.5229071,0.06741797,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,87,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,www.teramill.com,teramill.com,['91.239.200.44'],"['ns1.thinline.cz', 'ns2.thinline.cz', 'ns3.cesky-hosting.eu']"
515489.txt,https://www.socialpolicy.org,27,www.socialpolicy.org,20,0,org,100.0,1.0,0.0799628,0.064491134,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1043,1037,1,social policy: organizing for social and economic justice,50.0,50.0,1,0,0,0,0,1,12,1,0,0,1,1,1,1,0,0,1,16,9,13,92,1,18,1,0,www.socialpolicy.org,socialpolicy.org,['35.188.144.184'],"['ns43.domaincontrol.com', 'ns44.domaincontrol.com']"
858208.txt,https://www.aoh61.com,20,www.aoh61.com,13,0,com,100.0,1.0,0.5229071,0.055131169,3,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0,0.0,0.0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,16,4,7,4,0,14,1,0,www.aoh61.com,aoh61.com,"['104.21.12.10', '172.67.131.218']","['eugene.ns.cloudflare.com', 'ada.ns.cloudflare.com']"
712305.txt,https://www.bulgariaski.com,26,www.bulgariaski.com,19,0,com,100.0,1.0,0.5229071,0.055714659,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2639,1574,1,bulgaria ski - bulgarian ski resorts and holiday bookings.,100.0,100.0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,63,12,22,156,2,184,1,0,www.bulgariaski.com,bulgariaski.com,"['172.67.154.101', '104.21.40.155']","['nataly.ns.cloudflare.com', 'harley.ns.cloudflare.com']"
252332.txt,https://www.brightika.com,24,www.brightika.com,17,0,com,100.0,1.0,0.5229071,0.053754992,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,5509,550,1,0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,14,19,2,1,14,1,0,www.brightika.com,brightika.com,['54.89.0.118'],"['ns2.messagingengine.com', 'ns1.messagingengine.com']"
862789.txt,https://www.motley.ie,20,www.motley.ie,13,0,ie,100.0,1.0,0.0015878,0.061203697,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,2839,8047,1,home | motley,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56,10,16,235,0,254,1,0,www.motley.ie,motley.ie,['104.247.81.99'],"['ns2.parkingcrew.net', 'ns1.parkingcrew.net']"
561324.txt,https://www.funzine.hu,21,www.funzine.hu,14,0,hu,100.0,1.0,0.0022172,0.042916591,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1576,1907,1,funzine,100.0,100.0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,52,10,27,0,1,143,1,0,www.funzine.hu,funzine.hu,['148.251.86.86'],"['elite.serverkraft.hu', 'superelite.serverkraft.hu', 'elite03.serverkraft.hu']"
791831.txt,https://www.dixxon.com,21,www.dixxon.com,14,0,com,100.0,1.0,0.5229071,0.054492147,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,5004,13844,1,facebook,0.0,0.0,1,0,1,0,0,1,0,21,0,1,1,1,1,1,1,0,1,259,14,33,168,1,90,1,0,www.dixxon.com,dixxon.com,['23.227.38.74'],"['ns52.domaincontrol.com', 'ns51.domaincontrol.com']"
861208.txt,https://www.ooty.ind.in,22,www.ooty.ind.in,15,0,in,100.0,0.625,0.0050842,0.060958413,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,719,1842,1,best places to visit in ooty tamil nadu ootacamund,80.0,80.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21,0,2,2,0,1,1,0,www.ooty.ind.in,ooty.ind.in,['103.120.179.212'],"['ns621.hostingraja.org', 'ns622.hostingraja.org']"
mw16985.txt,http://www.f0519141.xsph.ru,26,www.f0519141.xsph.ru,20,0,ru,55.28492647,0.923076923,0.0180132,0.015061052,2,2,0,0,0.0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,400 bad request,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.f0519141.xsph.ru,xsph.ru,['141.8.197.42'],"['ns3.sprinthost.net', 'ns1.sprinthost.ru', 'ns2.sprinthost.ru', 'ns4.sprinthost.net']"
mw131249.txt,http://www.shprakserf.gq,24,www.shprakserf.gq,17,0,gq,56.55114117,1.0,5.3e-05,0.042982074,2,1,0,0,0.0,12,0.5,0,0.0,0,0,0,1,0.042,0,20,211,1,shprakserf.gq,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.shprakserf.gq,shprakserf.gq,[],[]
6569.txt,https://www.cryptocompare.com,28,www.cryptocompare.com,21,0,com,100.0,1.0,0.5229071,0.066744309,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,2412,17815,1,"cryptocurrency prices, portfolio, forum, rankings | cryptocompare.com",0.0,0.0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,1,1,1,49,2,4,111,2,39,1,0,www.cryptocompare.com,cryptocompare.com,"['104.18.30.136', '104.18.31.136']","['brit.ns.cloudflare.com', 'elmo.ns.cloudflare.com']"
394270.txt,https://www.diariodealmeria.es,29,www.diariodealmeria.es,22,0,es,100.0,1.0,0.0064109,0.068406052,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,11406,467,1,diario de almeria - diario de almería,100.0,100.0,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1,217,4,10,609,12,93,1,0,www.diariodealmeria.es,diariodealmeria.es,"['79.127.211.129', '154.47.23.177']","['dns37.servidoresdns.net', 'dns38.servidoresdns.net']"
518245.txt,https://www.town.minamichita.lg.jp,33,www.town.minamichita.lg.jp,26,0,jp,100.0,0.631578947,0.0230451,0.054905556,2,3,0,0,0.0,18,0.545,0,0.0,0,0,0,3,0.091,1,407,1497,1,南知多町公式ウェブサイト,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,37,10,21,2,0,7,1,0,www.town.minamichita.lg.jp,minamichita.lg.jp,['45.223.171.195'],[]
683655.txt,https://www.bwresearch.com,25,www.bwresearch.com,18,0,com,100.0,1.0,0.5229071,0.062164929,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,317,191,1,bw research partnership,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,4,2,2,4,1,0,www.bwresearch.com,bwresearch.com,"['141.193.213.10', '141.193.213.11']","['ns25.domaincontrol.com', 'ns26.domaincontrol.com']"
638225.txt,https://www.musicvideoproduction.guru,36,www.musicvideoproduction.guru,29,0,guru,100.0,1.0,9.54e-05,0.056798719,4,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,795,3398,1,miami video production - music video company | regulus films,100.0,100.0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,10,3,6,23,2,17,1,0,www.musicvideoproduction.guru,musicvideoproduction.guru,['50.62.143.88'],"['ns72.domaincontrol.com', 'ns71.domaincontrol.com']"
7972389.txt,https://service-mitld.firebaseapp.com/,37,service-mitld.firebaseapp.com,29,0,com,64.64526358,0.48,0.5229071,0.059401289,3,1,0,0,0.0,26,0.703,0,0.0,0,0,0,3,0.081,1,16,113,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,service-mitld.firebaseapp.com,firebaseapp.com,['199.36.158.100'],"['ns-cloud-c2.googledomains.com', 'ns-cloud-c4.googledomains.com', 'ns-cloud-c1.googledomains.com', 'ns-cloud-c3.googledomains.com']"
mw34096.txt,http://www.kuradox92.lima-city.de,32,www.kuradox92.lima-city.de,26,0,de,45.84980237,0.526315789,0.0326503,0.0452655,2,2,0,0,0.0,16,0.5,2,0.062,0,0,0,3,0.094,0,43,283,1,www.kuradox92.lima-city.de - zugriff / access: #403,5.263157895,5.263157895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,www.kuradox92.lima-city.de,lima-city.de,"['91.216.248.20', '91.216.248.22', '91.216.248.21']","['jill.ns.cloudflare.com', 'jake.ns.cloudflare.com']"
8008520.txt,https://liuy-9a930.web.app/,26,liuy-9a930.web.app,18,0,app,54.51591943,0.571428571,0.001502,0.032795326,3,1,0,0,0.0,11,0.423,4,0.154,0,0,0,3,0.115,1,108,8125,1,site not found,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,liuy-9a930.web.app,web.app,['199.36.158.100'],"['ns2.googledomains.com', 'ns3.googledomains.com', 'ns4.googledomains.com', 'ns1.googledomains.com']"
86745.txt,https://www.landed.com,21,www.landed.com,14,0,com,100.0,1.0,0.5229071,0.063377153,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1465,1501,1,landed | homebuying navigator for essential professionals,100.0,100.0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,13,17,29,45,1,59,1,0,www.landed.com,landed.com,"['31.43.161.6', '31.43.160.6']","['rachel.ns.cloudflare.com', 'donald.ns.cloudflare.com']"
8029912.txt,https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,91,ipfs.io,7,0,io,9.669201014,1.0,0.0129268,0.041482802,2,0,0,0,0.0,69,0.758,7,0.077,1,1,0,5,0.077,1,105,1607,1,roundcube webmail :: welcome to roundcube webmail,0.0,2.53164557,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6,0,0,2,0,1,ipfs.io,ipfs.io,['209.94.90.1'],"['tate.ns.cloudflare.com', 'clarissa.ns.cloudflare.com']"
8066660.txt,http://att-103731-107123.weeblysite.com/,40,att-103731-107123.weeblysite.com,32,0,com,36.61221591,0.607142857,0.5229071,0.035013849,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,5,0.125,0,13,119,1,redirecting to https://att-103731-107123.weeblysite.com,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,att-103731-107123.weeblysite.com,weeblysite.com,"['74.115.51.55', '74.115.51.54']","['ns-522.awsdns-01.net', 'ns-510.awsdns-63.com', 'ns-1375.awsdns-43.org', 'ns-1854.awsdns-39.co.uk']"
53440.txt,https://www.bikeseoul.com,24,www.bikeseoul.com,17,0,com,100.0,1.0,0.5229071,0.062644799,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1331,343,1,서울자전거 따릉이 - 무인대여시스템,0.0,0.0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,15,29,17,49,0,13,1,0,www.bikeseoul.com,bikeseoul.com,['14.49.46.12'],"['ns2.whoisdomain.kr', 'ns1.whoisdomain.kr', 'ns4.whoisdomain.kr', 'ns3.whoisdomain.kr']"
8065475.txt,https://hidok4f8zl.firebaseapp.com/,35,hidok4f8zl.firebaseapp.com,26,0,com,63.90532544,0.590909091,0.5229071,0.047810565,3,1,0,0,0.0,22,0.629,2,0.057,0,0,0,3,0.086,1,108,8125,1,site not found,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,hidok4f8zl.firebaseapp.com,firebaseapp.com,['199.36.158.100'],"['ns-cloud-c4.googledomains.com', 'ns-cloud-c3.googledomains.com', 'ns-cloud-c1.googledomains.com', 'ns-cloud-c2.googledomains.com']"
584755.txt,https://www.ibeani.co.uk,23,www.ibeani.co.uk,16,0,uk,100.0,0.777777778,0.028555,0.065006937,2,2,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,2625,3976,1,0,0.0,0.0,1,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,64,69,20,137,0,23,1,0,www.ibeani.co.uk,ibeani.co.uk,['23.227.38.74'],"['ns.simplereg.xyz', 'ns.simplereg.net', 'ns.simplereg.uk', 'ns.simplereg.com', 'ns.simplereg.co.uk']"
603823.txt,https://www.metroretrovintage.com,32,www.metroretrovintage.com,25,0,com,100.0,1.0,0.5229071,0.068597251,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,3188,2683,1,0,0.0,0.0,0,0,1,0,0,1,0,19,0,1,1,0,1,1,1,0,1,85,3,20,93,0,9,1,0,www.metroretrovintage.com,metroretrovintage.com,['23.227.38.74'],"['ns1053.ui-dns.org', 'ns1053.ui-dns.de', 'ns1053.ui-dns.biz', 'ns1053.ui-dns.com']"
mw52024.txt,http://www.ooguy.com,19,www.ooguy.com,13,0,com,79.25925926,1.0,0.5229071,0.064809075,3,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,2,179,1,object moved,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,www.ooguy.com,ooguy.com,['162.216.242.208'],"['ns6.dynu.com', 'ns0.dynu.com', 'ns4.dynu.com', 'ns3.dynu.com', 'ns1.dynu.com', 'ns5.dynu.com']"
62523.txt,https://www.vysor.io,19,www.vysor.io,12,0,io,100.0,1.0,0.0129268,0.05131194,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,229,171,1,vysor,100.0,100.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,4,8,7,0,4,1,0,www.vysor.io,vysor.io,"['185.199.110.153', '185.199.111.153', '185.199.108.153', '185.199.109.153']","['lennox.ns.cloudflare.com', 'monika.ns.cloudflare.com']"
mw74078.txt,http://www.fairytalesinc.com,27,www.fairytalesinc.com,21,0,com,76.65441176,1.0,0.5229071,0.061914384,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0,2,2826,1,fairytalesinc,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,www.fairytalesinc.com,fairytalesinc.com,"['3.33.130.190', '15.197.148.33']","['ns07.domaincontrol.com', 'ns08.domaincontrol.com']"
mw65785.txt,http://www.iuhjn.pplink.club,27,www.iuhjn.pplink.club,21,0,club,47.36639754,0.583333333,0.0006227,0.039958523,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0,8,41,1,iuhjnpplink,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.iuhjn.pplink.club,pplink.club,[],[]
7932715.txt,https://mechinchem-5cb8a.web.app/,32,mechinchem-5cb8a.web.app,24,0,app,49.27777778,0.6,0.001502,0.050001333,3,1,0,0,0.0,19,0.594,2,0.062,0,0,0,3,0.094,1,2,3306,1,mechinchem-5cb8aweb,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,mechinchem-5cb8a.web.app,web.app,['199.36.158.100'],"['ns4.googledomains.com', 'ns1.googledomains.com', 'ns2.googledomains.com', 'ns3.googledomains.com']"
532746.txt,https://www.salutlive.com,24,www.salutlive.com,17,0,com,100.0,1.0,0.5229071,0.058978238,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2262,739,1,salutlive,100.0,100.0,0,0,1,0,0,1,1,3,0,1,1,1,0,0,1,0,0,2,11,24,266,0,369,1,0,www.salutlive.com,salutlive.com,"['104.21.26.223', '172.67.139.119']","['fonzie.ns.cloudflare.com', 'gina.ns.cloudflare.com']"
751473.txt,https://www.recettessimples.fr,29,www.recettessimples.fr,22,0,fr,100.0,1.0,0.0141483,0.061103084,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,3051,1021,1,recettessimples,100.0,100.0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,56,1,18,71,0,283,1,0,www.recettessimples.fr,recettessimples.fr,['109.234.165.64'],"['ns1.o2switch.net', 'ns2.o2switch.net']"
8016956.txt,https://fb-restriction-case-97be5.web.app/,41,fb-restriction-case-97be5.web.app,33,0,app,34.32722951,0.482758621,0.001502,0.05160881,3,1,0,0,0.0,25,0.61,3,0.073,0,0,0,5,0.122,1,108,8125,1,fb-restriction-case-97be5web,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,fb-restriction-case-97be5.web.app,web.app,['199.36.158.100'],"['ns1.googledomains.com', 'ns3.googledomains.com', 'ns2.googledomains.com', 'ns4.googledomains.com']"
8044158.txt,https://pontosapontamentolu.com/gclid/=/c/?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,140,pontosapontamentolu.com,23,0,com,9.20379461,1.0,0.5229071,0.037272312,3,0,0,0,0.0,99,0.707,19,0.136,2,1,0,11,0.1,1,11,148,1,pontosapontamentolugclid=c?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pontosapontamentolu.com,pontosapontamentolu.com,[],[]
386777.txt,https://www.ainewsletter.com,27,www.ainewsletter.com,20,0,com,100.0,1.0,0.5229071,0.06627117,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,325,569,1,ainewsletter,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,21,1,21,1,0,www.ainewsletter.com,ainewsletter.com,"['172.67.185.33', '104.21.72.133']","['katja.ns.cloudflare.com', 'aldo.ns.cloudflare.com']"
445249.txt,https://www.marrugeku.com.au,27,www.marrugeku.com.au,20,0,au,100.0,0.769230769,0.0100856,0.060261303,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,567,1820,1,mrrugekucom,0.0,0.0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,9,10,20,83,0,84,1,0,www.marrugeku.com.au,marrugeku.com.au,['43.250.142.88'],"['ns1.syd5.hostingplatform.net.au', 'ns2.syd5.hostingplatform.net.au']"
527611.txt,https://www.sweatdrop.com,24,www.sweatdrop.com,17,0,com,100.0,1.0,0.5229071,0.062492995,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,301,263,1,sweatdrop,100.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,1,5,39,0,12,1,0,www.sweatdrop.com,sweatdrop.com,"['207.120.37.165', '207.120.37.169', '207.120.37.167', '207.120.37.173', '207.120.37.170', '207.120.37.171', '207.120.37.172', '207.120.37.166']","['ns2.mythic-beasts.com', 'ns1.mythic-beasts.com']"
